Layer,MSE,Image_Type
conv1,0.07479517,offsample
conv1,0.0034889323,offsample
conv1,0.008935412,offsample
conv1,0.052892737,offsample
conv1,0.0042187804,offsample
conv1,0.0041141137,offsample
conv1,0.00016864185,offsample
conv1,0.028635422,offsample
conv1,0.0037753673,offsample
conv1,0.00027538554,offsample
conv1,0.0118108895,offsample
conv1,0.00039529204,offsample
conv1,0.05252433,offsample
conv1,0.033164665,offsample
conv1,0.019378224,offsample
conv1,0.012183252,offsample
conv1,0.008645606,offsample
conv1,0.040764328,offsample
conv1,0.014403086,offsample
conv1,0.037629895,offsample
conv1,0.0060558734,offsample
conv1,0.008177339,offsample
conv1,0.005429605,offsample
conv1,0.0022245944,offsample
conv1,0.009215978,offsample
conv1,0.01156199,offsample
conv1,0.00087361765,offsample
conv1,0.00026954216,offsample
conv1,0.0036739903,offsample
conv1,0.0031885144,offsample
conv1,0.0062293215,offsample
conv1,0.021261455,offsample
conv1,0.034582905,offsample
conv1,0.006231978,offsample
conv1,0.052342094,offsample
conv1,0.030150246,offsample
conv1,0.0019397144,offsample
conv1,3.6465182e-05,offsample
conv1,0.0034483853,offsample
conv1,0.0015569647,offsample
conv1,0.0027883064,offsample
conv1,0.012111975,offsample
conv1,0.001744091,offsample
conv1,0.005693926,offsample
conv1,0.00039586588,offsample
conv1,0.0075467154,offsample
conv1,0.025418507,offsample
conv1,0.053237785,offsample
conv1,0.004904497,offsample
conv1,0.05520288,offsample
conv1,0.009386004,offsample
conv1,0.0026401859,offsample
conv1,0.04058011,offsample
conv1,0.0012075182,offsample
conv1,0.00044851465,offsample
conv1,0.024061976,offsample
conv1,0.0020213334,offsample
conv1,0.04110486,offsample
conv1,0.00091963215,offsample
conv1,0.017445251,offsample
conv1,0.011907554,offsample
conv1,0.00044035108,offsample
conv1,0.0010589765,offsample
conv1,0.0610373,offsample
conv1,0.010726878,offsample
conv1,0.007615592,offsample
conv1,0.0029774527,offsample
conv1,0.0005593481,offsample
conv1,0.0028711918,offsample
conv1,0.0008647038,offsample
conv1,0.013746167,offsample
conv1,0.00855281,offsample
conv1,0.002125957,offsample
conv1,0.006078135,offsample
conv1,0.0038436195,offsample
conv1,0.009112569,offsample
conv1,0.038166005,offsample
conv1,0.00078291306,offsample
conv1,0.06871541,offsample
conv1,0.0064110695,offsample
conv1,0.021733243,offsample
conv1,0.0012227868,offsample
conv1,0.014567702,offsample
conv1,0.119001806,offsample
conv1,0.03228568,offsample
conv1,0.007477711,offsample
conv1,0.0035076002,offsample
conv1,0.0008767196,offsample
conv1,0.013626555,offsample
conv1,0.0012930592,offsample
conv1,0.03820731,offsample
conv1,0.007875791,offsample
conv1,0.047214925,offsample
conv1,0.014991223,offsample
conv1,0.028486446,offsample
conv1,0.021277657,offsample
conv1,0.034166444,offsample
conv1,9.555744e-05,offsample
conv1,0.014314444,offsample
conv1,0.0043185935,offsample
conv1,0.0049379338,offsample
conv1,0.001277184,offsample
conv1,0.037998464,offsample
conv1,0.002292487,offsample
conv1,0.023432996,offsample
conv1,0.008081393,offsample
conv1,0.0014661615,offsample
conv1,0.005955375,offsample
conv1,0.00042754266,offsample
conv1,0.037220012,offsample
conv1,9.376991e-05,offsample
conv1,0.0049812035,offsample
conv1,0.019706793,offsample
conv1,0.018063061,offsample
conv1,0.008539182,offsample
conv1,0.0070432704,offsample
conv1,0.0018452057,offsample
conv1,0.041447602,offsample
conv1,0.005897238,offsample
conv1,0.004043968,offsample
conv1,0.0021172075,offsample
conv1,0.00083511596,offsample
conv1,0.0035557805,offsample
conv1,0.0029355953,offsample
conv1,0.00022268188,offsample
conv1,0.040100124,offsample
conv1,0.029408803,offsample
conv1,0.0051260227,offsample
conv1,2.6793981e-05,offsample
conv1,0.045965068,offsample
conv1,0.0013098666,offsample
conv1,0.0060396995,offsample
conv1,0.0017858872,offsample
conv1,0.0027532866,offsample
conv1,0.05107174,offsample
conv1,0.00087087956,offsample
conv1,0.010215505,offsample
conv1,0.018082503,offsample
conv1,9.1882444e-05,offsample
conv1,0.0017575655,offsample
conv1,0.0011038866,offsample
conv1,0.030325228,offsample
conv1,0.00019300467,offsample
conv1,0.00038567508,offsample
conv1,0.00991384,offsample
conv1,0.00257032,offsample
conv1,0.007910112,offsample
conv1,0.046786662,offsample
conv1,0.02887729,offsample
conv1,0.0019597874,offsample
conv1,0.011074232,offsample
conv1,0.0006777779,offsample
conv1,0.0016368969,offsample
conv1,0.046721224,offsample
conv1,0.040534414,offsample
conv1,0.0028319596,offsample
conv1,0.002933055,offsample
